asctime,name,topic from,topic to,frame,offset received,frame delay (ms),msg creation delay (ms),consume time (ms),size data received (KB),decode time (ms),size data decoded (KB),process time (ms),size data processed (KB),encode time (ms),size data encoded (KB),send time (ms),size data sent (KB),offset sent
2024/02/08 21:59:18.728,csv_analyzer-logs,crawler,client,-1,2017,-1,21.07,0.0,1.278,0.0,0.137,1269.97,0.045,0.0,0.037,8.36,0.037,378
2024/02/08 21:59:19.483,csv_analyzer-logs,crawler,client,-1,2018,-1,5.31,719.72,1.206,0.56,0.081,40.17,0.045,0.0,0.037,3.32,0.037,379
2024/02/08 21:59:21.495,csv_analyzer-logs,crawler,client,-1,2019,-1,3.48,1971.99,1.195,0.0,0.086,38.93,0.045,0.0,0.037,3.96,0.037,380
2024/02/08 21:59:23.494,csv_analyzer-logs,crawler,client,-1,2020,-1,3.93,1955.96,1.168,0.0,0.075,42.35,0.045,0.0,0.037,3.69,0.037,381
